State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Grade,tempmax,tempmin,humidity,precip,uvindex
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,6.4,1000,2000,1600,2024-02-05,FAQ,68.0,54.1,83.7,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,6.7,2000,6000,4200,2024-10-05,FAQ,95.3,80.0,67.7,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,7.7,2000,10000,8500,2024-04-12,FAQ,101.2,73.3,31.5,0.0,10
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,7.9,2000,6000,4250,2023-03-10,FAQ,85.8,63.1,60.7,0.0,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,8.5,3500,7000,5000,2023-08-16,FAQ,95.2,82.6,72.2,0.13,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,8.9,1000,2000,1350,2025-04-22,FAQ,104.0,72.7,17.8,0.0,10
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,9.5,1000,2000,1500,2025-03-18,FAQ,84.5,62.1,57.5,0.0,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,18.9,1000,2000,1350,2025-05-05,FAQ,89.6,75.0,57.2,0.016,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,19.2,700,1700,1200,2023-11-22,FAQ,77.0,55.4,67.8,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,20.4,700,1500,1100,2023-11-20,FAQ,78.4,57.2,72.7,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,20.4,1000,2000,1450,2025-05-19,FAQ,102.6,84.2,54.8,0.0,10
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,21.0,2400,7500,5500,2024-11-02,FAQ,90.7,65.2,56.8,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,21.2,1000,3500,2250,2023-06-19,FAQ,91.8,78.8,81.0,0.344,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,22.0,2000,5000,3650,2024-04-11,FAQ,100.4,71.3,31.4,0.0,10
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,23.1,4000,6000,5150,2024-09-05,FAQ,90.0,75.2,85.4,0.027,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,24.5,3600,18000,9667,2023-07-12,FAQ,89.6,80.6,88.0,0.036,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,25.7,2400,7500,5500,2024-11-01,FAQ,90.7,64.4,55.2,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,26.4,1000,2000,1350,2025-05-13,FAQ,103.2,82.4,41.3,0.039,10
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,27.4,500,1800,1100,2023-05-30,FAQ,94.5,71.6,68.8,1.236,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,27.4,1000,2000,1350,2025-05-10,FAQ,95.2,80.2,61.2,0.458,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,27.6,2000,10000,5667,2023-07-17,FAQ,91.4,82.4,86.2,0.0,5
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,28.2,700,1700,1150,2023-11-23,FAQ,78.8,52.6,68.6,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,29.6,700,1500,1050,2024-06-13,FAQ,113.0,88.1,23.4,0.0,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,31.5,1500,3000,2250,2024-01-23,FAQ,63.8,46.4,84.9,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,31.7,1000,3000,2100,2023-12-04,FAQ,75.5,60.8,71.6,0.001,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,32.1,1000,3000,2000,2023-06-16,FAQ,100.5,82.4,56.3,0.319,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,32.2,1000,2500,1700,2025-03-08,FAQ,85.4,57.2,50.6,0.0,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,32.7,3000,15000,7500,2023-07-11,FAQ,89.7,78.8,89.8,0.016,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,33.2,1000,2000,1500,2025-05-26,FAQ,93.9,79.5,73.6,0.0,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,33.3,3600,18000,9667,2023-07-13,FAQ,90.9,80.5,88.1,0.068,7
